conversation_id,conversation_json,sarcasm,category,sentiment
3308,"[{""speaker"": ""customer"", ""text"": ""I appreciate the quick response. Very helpful.""}, {""speaker"": ""agent"", ""text"": ""We're happy to assist! Is there anything else?""}]",0,delivery_issue,positive
578,"[{""speaker"": ""customer"", ""text"": ""Superb! the wrong item was delivered. Really impressed with your service.""}, {""speaker"": ""agent"", ""text"": ""I apologize. Let me check what went wrong.""}]",1,general_query,negative
5290,"[{""speaker"": ""customer"", ""text"": ""What payment methods do you accept?""}, {""speaker"": ""agent"", ""text"": ""I'd be happy to explain our payment options.""}]",0,delivery_issue,neutral
4687,"[{""speaker"": ""customer"", ""text"": ""I'd like to update my shipping address.""}, {""speaker"": ""agent"", ""text"": ""I can help you with that.""}]",0,general_query,neutral
849,"[{""speaker"": ""customer"", ""text"": ""Brilliant! the shipping cost is too high. Keep up the great work.""}, {""speaker"": ""agent"", ""text"": ""I apologize for this issue. Let me help you right away.""}]",1,delivery_issue,negative
4693,"[{""speaker"": ""customer"", ""text"": ""Can you tell me about your return policy?""}, {""speaker"": ""agent"", ""text"": ""Of course! Let me explain that for you.""}]",0,delivery_issue,neutral
2119,"[{""speaker"": ""customer"", ""text"": ""There seems to be the wrong item was delivered. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,general_query,negative
4059,"[{""speaker"": ""customer"", ""text"": ""The the product quality was handled perfectly. Thanks!""}, {""speaker"": ""agent"", ""text"": ""Thank you for the kind words! We're here to help.""}]",0,billing,positive
2553,"[{""speaker"": ""customer"", ""text"": ""the product doesn't work. Could you please fix this?""}, {""speaker"": ""agent"", ""text"": ""Of course. Let me resolve this for you.""}]",0,general_query,negative
545,"[{""speaker"": ""customer"", ""text"": ""Perfect timing! the shipping cost is too high. Couldn't be better.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear that. Let me check your account.""}]",1,delivery_issue,negative
1965,"[{""speaker"": ""customer"", ""text"": ""I'm having trouble with the discount code doesn't work.""}, {""speaker"": ""agent"", ""text"": ""I understand. Let me assist you with that.""}]",0,billing,negative
1003,"[{""speaker"": ""customer"", ""text"": ""Wow, the item is defective. You guys are really on top of things.""}, {""speaker"": ""agent"", ""text"": ""I understand your frustration. Let me look into this.""}]",1,general_query,negative
448,"[{""speaker"": ""customer"", ""text"": ""Excellent! the size is incorrect. You've outdone yourselves.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear this. Let me assist you immediately.""}]",1,billing,negative
2421,"[{""speaker"": ""customer"", ""text"": ""There seems to be the discount code doesn't work. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,product_quality,negative
4182,"[{""speaker"": ""customer"", ""text"": ""Very satisfied with fixing the billing error. Thank you.""}, {""speaker"": ""agent"", ""text"": ""We appreciate your business! Have a wonderful day.""}]",0,technical_support,positive
4525,"[{""speaker"": ""customer"", ""text"": ""What payment methods do you accept?""}, {""speaker"": ""agent"", ""text"": ""I'd be happy to explain our payment options.""}]",0,billing,neutral
3241,"[{""speaker"": ""customer"", ""text"": ""Impressed with resolving this quickly. Keep it up!""}, {""speaker"": ""agent"", ""text"": ""Thank you! We strive to provide the best service.""}]",0,general_query,positive
1922,"[{""speaker"": ""customer"", ""text"": ""There seems to be the size is incorrect. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,delivery_issue,negative
4472,"[{""speaker"": ""customer"", ""text"": ""processing my refund was perfect. Thanks!""}, {""speaker"": ""agent"", ""text"": ""Glad we could help! Have a great day.""}]",0,billing,positive
5343,"[{""speaker"": ""customer"", ""text"": ""When will my order arrive?""}, {""speaker"": ""agent"", ""text"": ""Let me check the delivery estimate for you.""}]",0,product_quality,neutral
5370,"[{""speaker"": ""customer"", ""text"": ""Can you tell me about your return policy?""}, {""speaker"": ""agent"", ""text"": ""Of course! Let me explain that for you.""}]",0,general_query,neutral
2859,"[{""speaker"": ""customer"", ""text"": ""I was charged twice. I need this resolved please.""}, {""speaker"": ""agent"", ""text"": ""I'll help you with that right away.""}]",0,general_query,negative
2949,"[{""speaker"": ""customer"", ""text"": ""I'm having trouble with the wrong item was delivered.""}, {""speaker"": ""agent"", ""text"": ""I understand. Let me assist you with that.""}]",0,billing,negative
352,"[{""speaker"": ""customer"", ""text"": ""Lovely! I was charged twice. This is why I shop here.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry for the trouble. Let me fix this for you.""}]",1,technical_support,negative
2178,"[{""speaker"": ""customer"", ""text"": ""I'm experiencing my payment failed. Please help.""}, {""speaker"": ""agent"", ""text"": ""I'm here to help. Let me look into this.""}]",0,product_quality,negative
2623,"[{""speaker"": ""customer"", ""text"": ""There seems to be my refund hasn't been processed. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,billing,negative
2060,"[{""speaker"": ""customer"", ""text"": ""I'm having trouble with the product arrived broken.""}, {""speaker"": ""agent"", ""text"": ""I understand. Let me assist you with that.""}]",0,delivery_issue,negative
3668,"[{""speaker"": ""customer"", ""text"": ""Excellent service with resolving this quickly. Thank you!""}, {""speaker"": ""agent"", ""text"": ""Thank you for your feedback! We appreciate it.""}]",0,billing,positive
1778,"[{""speaker"": ""customer"", ""text"": ""my package is damaged. Could you please fix this?""}, {""speaker"": ""agent"", ""text"": ""Of course. Let me resolve this for you.""}]",0,general_query,negative
4679,"[{""speaker"": ""customer"", ""text"": ""How can I track my shipment?""}, {""speaker"": ""agent"", ""text"": ""Let me review your order details.""}]",0,billing,neutral
4929,"[{""speaker"": ""customer"", ""text"": ""How can I track my shipment?""}, {""speaker"": ""agent"", ""text"": ""Let me review your order details.""}]",0,billing,neutral
3244,"[{""speaker"": ""customer"", ""text"": ""the clear communication exceeded my expectations. Thanks!""}, {""speaker"": ""agent"", ""text"": ""We're so glad! Thank you for choosing us.""}]",0,billing,positive
1034,"[{""speaker"": ""customer"", ""text"": ""Excellent! the discount code doesn't work. You've outdone yourselves.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear this. Let me assist you immediately.""}]",1,product_quality,negative
3045,"[{""speaker"": ""customer"", ""text"": ""The fixing the billing error was handled perfectly. Thanks!""}, {""speaker"": ""agent"", ""text"": ""Thank you for the kind words! We're here to help.""}]",0,general_query,positive
5327,"[{""speaker"": ""customer"", ""text"": ""How can I track my shipment?""}, {""speaker"": ""agent"", ""text"": ""Let me review your order details.""}]",0,product_quality,neutral
80,"[{""speaker"": ""customer"", ""text"": ""Sure, the item is out of stock. I absolutely love this.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please allow me a moment.""}]",1,general_query,negative
1048,"[{""speaker"": ""customer"", ""text"": ""Oh great, the product doesn't work. Just what I needed today.""}, {""speaker"": ""agent"", ""text"": ""I apologize for the inconvenience. Let me help you with that.""}]",1,technical_support,negative
1336,"[{""speaker"": ""customer"", ""text"": ""Wow, my account is locked. You guys are really on top of things.""}, {""speaker"": ""agent"", ""text"": ""I understand your frustration. Let me look into this.""}]",1,product_quality,negative
4379,"[{""speaker"": ""customer"", ""text"": ""Thank you for the customer support. Great service!""}, {""speaker"": ""agent"", ""text"": ""You're welcome! We're glad we could help.""}]",0,technical_support,positive
4230,"[{""speaker"": ""customer"", ""text"": ""I appreciate processing my refund. Very helpful.""}, {""speaker"": ""agent"", ""text"": ""We're happy to assist! Is there anything else?""}]",0,delivery_issue,positive
1438,"[{""speaker"": ""customer"", ""text"": ""Sure, the delivery address is wrong. I absolutely love this.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please allow me a moment.""}]",1,delivery_issue,negative
927,"[{""speaker"": ""customer"", ""text"": ""Superb! my package is damaged. Really impressed with your service.""}, {""speaker"": ""agent"", ""text"": ""I apologize. Let me check what went wrong.""}]",1,technical_support,negative
3008,"[{""speaker"": ""customer"", ""text"": ""Very satisfied with the fast delivery. Thank you.""}, {""speaker"": ""agent"", ""text"": ""We appreciate your business! Have a wonderful day.""}]",0,billing,positive
2544,"[{""speaker"": ""customer"", ""text"": ""I'm experiencing the discount code doesn't work. Please help.""}, {""speaker"": ""agent"", ""text"": ""I'm here to help. Let me look into this.""}]",0,billing,negative
1074,"[{""speaker"": ""customer"", ""text"": ""Excellent! my refund hasn't been processed. You've outdone yourselves.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear this. Let me assist you immediately.""}]",1,billing,negative
890,"[{""speaker"": ""customer"", ""text"": ""Perfect timing! the wrong item was delivered. Couldn't be better.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear that. Let me check your account.""}]",1,product_quality,negative
2438,"[{""speaker"": ""customer"", ""text"": ""I have a problem with my account is locked. Can you help?""}, {""speaker"": ""agent"", ""text"": ""Of course! Let me look into that for you.""}]",0,general_query,negative
4303,"[{""speaker"": ""customer"", ""text"": ""Impressed with fixing the billing error. Keep it up!""}, {""speaker"": ""agent"", ""text"": ""Thank you! We strive to provide the best service.""}]",0,technical_support,positive
291,"[{""speaker"": ""customer"", ""text"": ""Oh wonderful, the item is defective. Best service ever.""}, {""speaker"": ""agent"", ""text"": ""I'm very sorry. Let me investigate this immediately.""}]",1,product_quality,negative
2413,"[{""speaker"": ""customer"", ""text"": ""There's an issue with my order was cancelled without notice. Please assist.""}, {""speaker"": ""agent"", ""text"": ""I'd be happy to help. Let me check your account.""}]",0,delivery_issue,negative
2583,"[{""speaker"": ""customer"", ""text"": ""There seems to be my refund hasn't been processed. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,general_query,negative
5273,"[{""speaker"": ""customer"", ""text"": ""Can you tell me about your return policy?""}, {""speaker"": ""agent"", ""text"": ""Of course! Let me explain that for you.""}]",0,delivery_issue,neutral
2228,"[{""speaker"": ""customer"", ""text"": ""I'm having trouble with the wrong item was delivered.""}, {""speaker"": ""agent"", ""text"": ""I understand. Let me assist you with that.""}]",0,billing,negative
2930,"[{""speaker"": ""customer"", ""text"": ""I have a problem with my refund hasn't been processed. Can you help?""}, {""speaker"": ""agent"", ""text"": ""Of course! Let me look into that for you.""}]",0,billing,negative
2407,"[{""speaker"": ""customer"", ""text"": ""my order was delayed again. Could you please fix this?""}, {""speaker"": ""agent"", ""text"": ""Of course. Let me resolve this for you.""}]",0,billing,negative
2292,"[{""speaker"": ""customer"", ""text"": ""my order was cancelled without notice. I need this resolved please.""}, {""speaker"": ""agent"", ""text"": ""I'll help you with that right away.""}]",0,technical_support,negative
5027,"[{""speaker"": ""customer"", ""text"": ""How can I track my shipment?""}, {""speaker"": ""agent"", ""text"": ""Let me review your order details.""}]",0,delivery_issue,neutral
3077,"[{""speaker"": ""customer"", ""text"": ""Great job on updating my order. Much appreciated.""}, {""speaker"": ""agent"", ""text"": ""Thank you! We're here if you need anything else.""}]",0,product_quality,positive
2229,"[{""speaker"": ""customer"", ""text"": ""I have a problem with the product description was misleading. Can you help?""}, {""speaker"": ""agent"", ""text"": ""Of course! Let me look into that for you.""}]",0,technical_support,negative
1613,"[{""speaker"": ""customer"", ""text"": ""There's an issue with the delivery address is wrong. Please assist.""}, {""speaker"": ""agent"", ""text"": ""I'd be happy to help. Let me check your account.""}]",0,billing,negative
3063,"[{""speaker"": ""customer"", ""text"": ""Excellent service with helping me track my order. Thank you!""}, {""speaker"": ""agent"", ""text"": ""Thank you for your feedback! We appreciate it.""}]",0,technical_support,positive
426,"[{""speaker"": ""customer"", ""text"": ""Brilliant! the discount code doesn't work. Keep up the great work.""}, {""speaker"": ""agent"", ""text"": ""I apologize for this issue. Let me help you right away.""}]",1,billing,negative
706,"[{""speaker"": ""customer"", ""text"": ""Lovely! my payment failed. This is why I shop here.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry for the trouble. Let me fix this for you.""}]",1,billing,negative
5136,"[{""speaker"": ""customer"", ""text"": ""When will my order arrive?""}, {""speaker"": ""agent"", ""text"": ""Let me check the delivery estimate for you.""}]",0,general_query,neutral
1880,"[{""speaker"": ""customer"", ""text"": ""There seems to be the delivery address is wrong. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,general_query,negative
3404,"[{""speaker"": ""customer"", ""text"": ""Great job on the clear communication. Much appreciated.""}, {""speaker"": ""agent"", ""text"": ""Thank you! We're here if you need anything else.""}]",0,technical_support,positive
4609,"[{""speaker"": ""customer"", ""text"": ""When will my order arrive?""}, {""speaker"": ""agent"", ""text"": ""Let me check the delivery estimate for you.""}]",0,delivery_issue,neutral
1618,"[{""speaker"": ""customer"", ""text"": ""my order was delayed again. What can be done about this?""}, {""speaker"": ""agent"", ""text"": ""Let me investigate this for you right away.""}]",0,product_quality,negative
1878,"[{""speaker"": ""customer"", ""text"": ""I need help with the delivery address is wrong.""}, {""speaker"": ""agent"", ""text"": ""I'll help you resolve this. One moment please.""}]",0,product_quality,negative
4012,"[{""speaker"": ""customer"", ""text"": ""I appreciate resolving this quickly. Very helpful.""}, {""speaker"": ""agent"", ""text"": ""We're happy to assist! Is there anything else?""}]",0,product_quality,positive
4094,"[{""speaker"": ""customer"", ""text"": ""processing my refund exceeded my expectations. Thanks!""}, {""speaker"": ""agent"", ""text"": ""We're so glad! Thank you for choosing us.""}]",0,product_quality,positive
2944,"[{""speaker"": ""customer"", ""text"": ""my refund hasn't been processed. What can be done about this?""}, {""speaker"": ""agent"", ""text"": ""Let me investigate this for you right away.""}]",0,delivery_issue,negative
3579,"[{""speaker"": ""customer"", ""text"": ""Really happy with updating my order. Well done!""}, {""speaker"": ""agent"", ""text"": ""We're thrilled to hear that! Thank you.""}]",0,delivery_issue,positive
1823,"[{""speaker"": ""customer"", ""text"": ""the discount code doesn't work. Could you please fix this?""}, {""speaker"": ""agent"", ""text"": ""Of course. Let me resolve this for you.""}]",0,delivery_issue,negative
2572,"[{""speaker"": ""customer"", ""text"": ""I need help with my account is locked.""}, {""speaker"": ""agent"", ""text"": ""I'll help you resolve this. One moment please.""}]",0,technical_support,negative
280,"[{""speaker"": ""customer"", ""text"": ""Sure, my payment failed. I absolutely love this.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please allow me a moment.""}]",1,technical_support,negative
16,"[{""speaker"": ""customer"", ""text"": ""Oh great, the item is out of stock. Just what I needed today.""}, {""speaker"": ""agent"", ""text"": ""I apologize for the inconvenience. Let me help you with that.""}]",1,billing,negative
2211,"[{""speaker"": ""customer"", ""text"": ""my order was delayed again. I need this resolved please.""}, {""speaker"": ""agent"", ""text"": ""I'll help you with that right away.""}]",0,product_quality,negative
1870,"[{""speaker"": ""customer"", ""text"": ""There seems to be the shipping cost is too high. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,general_query,negative
2488,"[{""speaker"": ""customer"", ""text"": ""the shipping cost is too high. I need this resolved please.""}, {""speaker"": ""agent"", ""text"": ""I'll help you with that right away.""}]",0,delivery_issue,negative
4761,"[{""speaker"": ""customer"", ""text"": ""I'd like to update my shipping address.""}, {""speaker"": ""agent"", ""text"": ""I can help you with that.""}]",0,technical_support,neutral
765,"[{""speaker"": ""customer"", ""text"": ""Fantastic! my refund hasn't been processed. This is exactly what I paid for.""}, {""speaker"": ""agent"", ""text"": ""I sincerely apologize. Let me resolve this for you.""}]",1,billing,negative
2587,"[{""speaker"": ""customer"", ""text"": ""my account is locked. I need this resolved please.""}, {""speaker"": ""agent"", ""text"": ""I'll help you with that right away.""}]",0,product_quality,negative
1644,"[{""speaker"": ""customer"", ""text"": ""the size is incorrect. What can be done about this?""}, {""speaker"": ""agent"", ""text"": ""Let me investigate this for you right away.""}]",0,product_quality,negative
3839,"[{""speaker"": ""customer"", ""text"": ""fixing the billing error exceeded my expectations. Thanks!""}, {""speaker"": ""agent"", ""text"": ""We're so glad! Thank you for choosing us.""}]",0,delivery_issue,positive
4563,"[{""speaker"": ""customer"", ""text"": ""Do you have this in a different size?""}, {""speaker"": ""agent"", ""text"": ""Let me check our inventory for you.""}]",0,general_query,neutral
2465,"[{""speaker"": ""customer"", ""text"": ""I need help with my refund hasn't been processed.""}, {""speaker"": ""agent"", ""text"": ""I'll help you resolve this. One moment please.""}]",0,technical_support,negative
697,"[{""speaker"": ""customer"", ""text"": ""Amazing! the item is defective. You never disappoint.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please give me a moment.""}]",1,delivery_issue,negative
1666,"[{""speaker"": ""customer"", ""text"": ""I have a problem with the discount code doesn't work. Can you help?""}, {""speaker"": ""agent"", ""text"": ""Of course! Let me look into that for you.""}]",0,billing,negative
1245,"[{""speaker"": ""customer"", ""text"": ""Perfect timing! my order was cancelled without notice. Couldn't be better.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear that. Let me check your account.""}]",1,general_query,negative
85,"[{""speaker"": ""customer"", ""text"": ""Sure, the discount code doesn't work. I absolutely love this.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please allow me a moment.""}]",1,general_query,negative
4682,"[{""speaker"": ""customer"", ""text"": ""Do you have this in a different size?""}, {""speaker"": ""agent"", ""text"": ""Let me check our inventory for you.""}]",0,technical_support,neutral
1216,"[{""speaker"": ""customer"", ""text"": ""Lovely! I was charged twice. This is why I shop here.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry for the trouble. Let me fix this for you.""}]",1,general_query,negative
1210,"[{""speaker"": ""customer"", ""text"": ""Wow, the shipping cost is too high. You guys are really on top of things.""}, {""speaker"": ""agent"", ""text"": ""I understand your frustration. Let me look into this.""}]",1,general_query,negative
926,"[{""speaker"": ""customer"", ""text"": ""Perfect timing! my order was delayed again. Couldn't be better.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear that. Let me check your account.""}]",1,billing,negative
325,"[{""speaker"": ""customer"", ""text"": ""Sure, my order hasn't arrived. I absolutely love this.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please allow me a moment.""}]",1,product_quality,negative
3025,"[{""speaker"": ""customer"", ""text"": ""Very satisfied with the clear communication. Thank you.""}, {""speaker"": ""agent"", ""text"": ""We appreciate your business! Have a wonderful day.""}]",0,product_quality,positive
2647,"[{""speaker"": ""customer"", ""text"": ""I need help with my account is locked.""}, {""speaker"": ""agent"", ""text"": ""I'll help you resolve this. One moment please.""}]",0,billing,negative
4389,"[{""speaker"": ""customer"", ""text"": ""Impressed with helping me track my order. Keep it up!""}, {""speaker"": ""agent"", ""text"": ""Thank you! We strive to provide the best service.""}]",0,product_quality,positive
1993,"[{""speaker"": ""customer"", ""text"": ""There seems to be the product description was misleading. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,delivery_issue,negative
4275,"[{""speaker"": ""customer"", ""text"": ""Excellent service with handling my complaint. Thank you!""}, {""speaker"": ""agent"", ""text"": ""Thank you for your feedback! We appreciate it.""}]",0,billing,positive
5289,"[{""speaker"": ""customer"", ""text"": ""Do you have this in a different size?""}, {""speaker"": ""agent"", ""text"": ""Let me check our inventory for you.""}]",0,technical_support,neutral
1098,"[{""speaker"": ""customer"", ""text"": ""Superb! my package is damaged. Really impressed with your service.""}, {""speaker"": ""agent"", ""text"": ""I apologize. Let me check what went wrong.""}]",1,billing,negative
374,"[{""speaker"": ""customer"", ""text"": ""Perfect timing! the item is defective. Couldn't be better.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear that. Let me check your account.""}]",1,product_quality,negative
1633,"[{""speaker"": ""customer"", ""text"": ""There seems to be the delivery address is wrong. Can you check?""}, {""speaker"": ""agent"", ""text"": ""Certainly. Let me investigate this for you.""}]",0,delivery_issue,negative
801,"[{""speaker"": ""customer"", ""text"": ""Sure, the delivery address is wrong. I absolutely love this.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please allow me a moment.""}]",1,billing,negative
4011,"[{""speaker"": ""customer"", ""text"": ""Excellent service with updating my order. Thank you!""}, {""speaker"": ""agent"", ""text"": ""Thank you for your feedback! We appreciate it.""}]",0,technical_support,positive
4684,"[{""speaker"": ""customer"", ""text"": ""How can I track my shipment?""}, {""speaker"": ""agent"", ""text"": ""Let me review your order details.""}]",0,product_quality,neutral
1539,"[{""speaker"": ""customer"", ""text"": ""There's an issue with the item is out of stock. Please assist.""}, {""speaker"": ""agent"", ""text"": ""I'd be happy to help. Let me check your account.""}]",0,delivery_issue,negative
2790,"[{""speaker"": ""customer"", ""text"": ""the delivery address is wrong. What can be done about this?""}, {""speaker"": ""agent"", ""text"": ""Let me investigate this for you right away.""}]",0,general_query,negative
1718,"[{""speaker"": ""customer"", ""text"": ""I need help with the discount code doesn't work.""}, {""speaker"": ""agent"", ""text"": ""I'll help you resolve this. One moment please.""}]",0,general_query,negative
5428,"[{""speaker"": ""customer"", ""text"": ""How can I track my shipment?""}, {""speaker"": ""agent"", ""text"": ""Let me review your order details.""}]",0,technical_support,neutral
1177,"[{""speaker"": ""customer"", ""text"": ""Wow, the discount code doesn't work. You guys are really on top of things.""}, {""speaker"": ""agent"", ""text"": ""I understand your frustration. Let me look into this.""}]",1,product_quality,negative
1412,"[{""speaker"": ""customer"", ""text"": ""Amazing! I received an empty box. You never disappoint.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please give me a moment.""}]",1,technical_support,negative
4174,"[{""speaker"": ""customer"", ""text"": ""The the quick response was handled perfectly. Thanks!""}, {""speaker"": ""agent"", ""text"": ""Thank you for the kind words! We're here to help.""}]",0,billing,positive
5001,"[{""speaker"": ""customer"", ""text"": ""What's the status of my order?""}, {""speaker"": ""agent"", ""text"": ""I'll check that for you right away.""}]",0,billing,neutral
4432,"[{""speaker"": ""customer"", ""text"": ""Really happy with the quick response. Well done!""}, {""speaker"": ""agent"", ""text"": ""We're thrilled to hear that! Thank you.""}]",0,technical_support,positive
427,"[{""speaker"": ""customer"", ""text"": ""Sure, the product doesn't work. I absolutely love this.""}, {""speaker"": ""agent"", ""text"": ""I understand your concern. Please allow me a moment.""}]",1,delivery_issue,negative
2025,"[{""speaker"": ""customer"", ""text"": ""my order hasn't arrived. I need this resolved please.""}, {""speaker"": ""agent"", ""text"": ""I'll help you with that right away.""}]",0,technical_support,negative
4945,"[{""speaker"": ""customer"", ""text"": ""I'd like to update my shipping address.""}, {""speaker"": ""agent"", ""text"": ""I can help you with that.""}]",0,product_quality,neutral
795,"[{""speaker"": ""customer"", ""text"": ""Excellent! the product doesn't work. You've outdone yourselves.""}, {""speaker"": ""agent"", ""text"": ""I'm sorry to hear this. Let me assist you immediately.""}]",1,technical_support,negative
3892,"[{""speaker"": ""customer"", ""text"": ""Great job on helping me track my order. Much appreciated.""}, {""speaker"": ""agent"", ""text"": ""Thank you! We're here if you need anything else.""}]",0,general_query,positive
5279,"[{""speaker"": ""customer"", ""text"": ""How can I track my shipment?""}, {""speaker"": ""agent"", ""text"": ""Let me review your order details.""}]",0,general_query,neutral
5367,"[{""speaker"": ""customer"", ""text"": ""Do you have this in a different size?""}, {""speaker"": ""agent"", ""text"": ""Let me check our inventory for you.""}]",0,product_quality,neutral
